,,,,SUMMARY OF COLLECTIONS,,,,,,,,
,,,,"ZAMBOANGUITA, NEGROS ORIENTAL",,,,,,,,
,,,,Month of January 2025,,,,,,,,
,,,,,,,,,,,,
Sources of Collection,Total Collections,NATIONAL,PROVINCIAL,,,MUNICIPAL,,,,BARANGAY SHARES,FISHERIES,
,,,GENERAL FUND,SPECIAL EDUC. FUND,TOTAL,GENERAL FUND,SPECIAL EDUC. FUND,TRUST FUND,TOTAL,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
